ReactionSMILES	reaction name	reactionSMARTS	reacting substructures	product substructures
C=O.O=C[C@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
OC1COC(O)CO1>>O=CCO.O=CCO	dimer_dissociation	O[C:1]1[C:2][O:3][C:4](-,:O)[C:5][O:6]1>>O=[C:1][C:2][O:3].O=[C:4][C:5][O:6]	O[C:1]1[C:2][O:3][C:4](O)[C:5][O:6]1	O=[C:1][C:2][O:3].O=[C:4][C:5][O:6]	
O=C[C@@H](O)CO.[OH-]>>OC=C(O)CO.[OH-]	deprotonation-t2	[$([C&h](-,:CO)C=O)&!$([C&h](-,:C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](CO)C=O)!$([Ch](C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@H](O)CO.[OH-]>>OC=C(O)CO.[OH-]	deprotonation-t2	[$([C&h](-,:CO)C=O)&!$([C&h](-,:C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](CO)C=O)!$([Ch](C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@H](O)CO.[OH-]	deprotonation-t3	[$([C&h](-,:C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)CO)C=O)!$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)CO.[OH-]	deprotonation-t3	[$([C&h](-,:C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)CO)C=O)!$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@H](O)CO.[OH-]	deprotonation-t3	[$([C&h](-,:C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)CO)C=O)!$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)CO.[OH-]	deprotonation-t3	[$([C&h](-,:C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)CO)C=O)!$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@@H](O)CO.[OH-]	deprotonation-t4	[$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:CO)(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@@H](O)[C@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@H](O)CO.[OH-]	deprotonation-t4	[$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:CO)(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@@H](O)CO.[OH-]	deprotonation-t4	[$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:CO)(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@H](O)CO.[OH-]	deprotonation-t4	[$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:CO)(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@@H](O)CO.[OH-]	deprotonation-t4	[$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:CO)(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@H](O)[C@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@H](O)CO.[OH-]	deprotonation-t4	[$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:CO)(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@@H](O)CO.[OH-]	deprotonation-t4	[$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:CO)(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O=C[C@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@H](O)CO.[OH-]	deprotonation-t4	[$([C&h](-,:C(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:CO)(-,:O)C(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:CO)(-,:O)CO)C=O)&!$([C&h](-,:C(-,:O)C(-,:O)C(-,:O)CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O.OC=C(O)CO>>O.O=C(CO)CO	protonation-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)CO>>O.O=C(CO)[C@H](O)CO	protonation-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)CO	protonation-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)[C@@H](O)CO>>O.O=C(CO)[C@H](O)[C@@H](O)CO	protonation-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)CO	protonation-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)[C@@H](O)CO	protonation-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)[C@H](O)CO>>O.O=C(CO)[C@@H](O)[C@H](O)CO	protonation-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)CO>>O.O=C[C@H](O)CO	protonation-t2-@	[$(C(-,:CO)=C-,:O)&!$(C(-,:C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C(CO)=C(O))!$(C(C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)CO>>O.O=C[C@@H](O)CO	protonation-t2-@@	[$(C(-,:CO)=C-,:O)&!$(C(-,:C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@@&H1:1])=[O:3].[O:4]	[$(C(CO)=C(O))!$(C(C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)CO	protonation-t3-@	[$(C(-,:C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)CO>>O.O=C[C@H](O)[C@@H](O)CO	protonation-t3-@	[$(C(-,:C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)CO	protonation-t3-@@	[$(C(-,:C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@@&H1:1])=[O:3].[O:4]	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)CO	protonation-t3-@@	[$(C(-,:C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@@&H1:1])=[O:3].[O:4]	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@@H](O)CO	protonation-t4-@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@H](O)CO	protonation-t4-@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@@H](O)[C@@H](O)CO	protonation-t4-@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@@H](O)[C@H](O)CO	protonation-t4-@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@@H](O)CO	protonation-t4-@@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@@&H1:1])=[O:3].[O:4]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@H](O)CO	protonation-t4-@@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@@&H1:1])=[O:3].[O:4]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)[C@@H](O)CO	protonation-t4-@@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@@&H1:1])=[O:3].[O:4]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@@H:1][C:2]=[O:3].[O:4]	
O.OC=C(O)[C@@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)[C@H](O)CO	protonation-t4-@@	[$(C(-,:C(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:CO)(-,:O)C(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:CO)(-,:O)CO)=C-,:O)&!$(C(-,:C(-,:O)C(-,:O)C(-,:O)CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@@&H1:1])=[O:3].[O:4]	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@@H:1][C:2]=[O:3].[O:4]	
C=O.OC=C(O)CO>>O=C(CO)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)CO>>O=C([C@@H](O)CO)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)CO>>O=C([C@@H](O)CO)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)[C@@H](O)CO>>O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)[C@H](O)CO>>O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO	aldol_addition_fast_pt_C=O-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)[C@H](O)CO>>O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=C(O)CO>>O=C(CO)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@H](O)CO>>O=C([C@H](O)CO)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
C=O.OC=C(O)[C@@H](O)CO>>O=C([C@@H](O)CO)[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
